30  1.80  4  8  0  1000  0  1000  	2017/04/18 - 2017/12/29	255	2,136	2,787.50	-2,237.50	2.24%	135	53.33%	1.12	20.65	244.41	0.00	1.28	1.78	16.40%	30  1.80  4  8  0  1000  0  1000  
",oosCurve,updated,2018-09-11 21:52:02,2018-09-11 22:21:18
82,23,247,3,@NQ.D,0,C:\ZTS\Dropbox\Business\ats\Data\CandidateArchive\cand_DP_23_T1_30_T2_na_mkt_397.txt,tbd,9,30,min,,,200,2010-11-22,2017-12-29,f,3,1,0,3,0,50,2.25,4,3,10,,,,2,0,1000.00000,0,1000.00000,TSI,NATR:int Fract:double Filter1_N1:int Filter1_N2:int SL_switch:int SL:int PT_switch:int PT:int,260,2018-09-13,2015-11-20,2018-09-13,"50  1.95  4  10  0  1000  0  1000  	2010/11/22 - 2011/08/04	255	2,136	505.00	-2,450.00	2.45%	87	54.02%	0.91	5.80	219.40	15.00	1.07	0.30	40.28%	50  1.95  4  10  0  1000  0  1000  
40  1.95  4  11  0  1000  0  1000  	2011/08/04 - 2012/04/24	264	2,136	1,855.00	-2,355.00	2.35%	87	55.17%	0.99	21.32	315.62	40.00	1.22	1.09	26.51%	40  1.95  4  11  0  1000  0  1000  
50  1.95  3  9  0  1000  0  1000  	2012/04/24 - 2013/01/14	265	2,136	1,655.00	-1,970.00	1.97%	96	57.29%	0.90	17.24	240.07	25.00	1.21	1.16	24.17%	50  1.95  3  9  0  1000  0  1000  
55  1.95  3  9  0  1000  0  1000  	2013/01/14 - 2013/09/26	255	2,136	-1,025.00	-2,485.00	2.48%	81	46.91%	0.96	-12.65	225.71	-25.00	0.85	-0.59	30.76%	55  1.95  3  9  0  1000  0  1000  
40  1.95  3  9  0  1000  0  1000  	2013/09/26 - 2014/06/16	263	2,136	4,975.00	-1,460.00	1.46%	88	54.55%	1.54	56.53	283.39	12.50	1.84	4.73	3.23%	40  1.95  3  9  0  1000  0  1000  
40  1.95  2  10  0  1000  0  1000  	2014/06/16 - 2015/03/04	261	2,136	-5,320.00	-8,110.00	8.11%	98	42.86%	0.89	-54.29	423.28	-45.00	0.66	-0.92	10.36%	40  1.95  2  10  0  1000  0  1000  
45  2.35  1  11  0  1000  0  1000  	2015/03/04 - 2015/11/13	255	2,136	2,455.00	-3,900.00	3.90%	73	45.21%	1.50	33.63	442.40	-50.00	1.24	0.90	25.90%	45  2.35  1  11  0  1000  0  1000  
40  2.25  1  11  0  1000  0  1000  	2015/11/13 - 2016/08/02	263	2,136	9,585.00	-2,170.00	2.17%	77	62.34%	1.15	124.48	521.06	90.00	1.91	6.13	1.97%	40  2.25  1  11  0  1000  0  1000  
40  2.25  1  11  0  1000  0  1000  	2016/08/02 - 2017/04/13	254	2,136	205.00	-1,815.00	1.81%	73	47.95%	1.11	2.81	270.79	-15.00	1.03	0.16	46.48%	40  2.25  1  11  0  1000  0  1000  
