DP_1TF_30m_sess9: L_S_B	DP_1TF_30m_sess9: POI_Switch	DP_1TF_30m_sess9: NATR	DP_1TF_30m_sess9: Fract	DP_1TF_30m_sess9: Filter1_Switch	DP_1TF_30m_sess9: Filter1_N1	DP_1TF_30m_sess9: Filter1_N2	DP_1TF_30m_sess9: Tsegment	All: Robustness Index	All: Perfect Profit Correlation	All: Pessimistic Return On Capital	All: Expectancy Score	All: TS Index	All: Return on Account	All: Required Account Size	All: Max Contracts Held	All: ProfitFactor	All: Max Intraday Drawdown	All: Avg Bars in Loser	All: Avg Bars in Winner	All: Max Consecutive Losers	All: Max Consecutive Winners	All: Avg Trade	All: Win/Loss Ratio	All: Avg Losing Trade	All: Avg Winning Trade	All: Max Losing Trade	All: Max Winning Trade	All: Losing Trades	All: Winning Trades	All: % Profitable	All: Total Trades	All: Gross Loss	All: Gross Profit	All: Net Profit	Test
2	6	5	2.55	21	9	17	3	328.2344158	257.5382216	0.0043892	-1.8860317	2.4206009	20.1716738	4660.0000000	1	1.1582492	-4660.0000000	5	7	6	4	33.5714286	1.5443322	-371.2500000	573.3333130	-1280.0000000	2790.0000000	16	12	42.8571429	28	-5940.0000000	6880.0000000	940.0000000	20659
1	6	25	2.55	12	10	10	0	869.0544543	1167.1509126	0.0130938	-0.1815451	11.7510040	61.8473896	2490.0000000	1	1.2583893	-2490.0000000	7	8	6	8	42.7777778	1.0596962	-372.5000000	394.7368469	-790.0000000	1720.0000000	16	19	52.7777778	36	-5960.0000000	7500.0000000	1540.0000000	20658
1	5	60	2.10	25	8	11	3	-45.3624628	2800.8076342	0.0380682	2.0731411	39.8078603	92.5764192	4580.0000000	1	1.4287159	-4580.0000000	3	4	5	13	54.3589744	1.0964564	-299.6969604	328.6046448	-1540.0000000	2560.0000000	33	43	55.1282051	78	-9890.0000000	14130.0000000	4240.0000000	20657
2	6	60	2.70	8	3	19	1	-55.6530214	-9.8431157	-0.0047666	-1.4808222	-0.8962656	-14.9377593	2410.0000000	1	0.9253112	-2410.0000000	9	9	4	4	-25.7142857	1.2337482	-602.5000000	743.3333130	-1120.0000000	1910.0000000	8	6	42.8571429	14	-4820.0000000	4460.0000000	-360.0000000	20652
2	5	20	0.90	33	20	11	3	0.0000000	329.9941517	0.0032341	-4.9459534	6.2819383	27.3127753	2270.0000000	1	1.1371681	-2270.0000000	2	2	8	3	10.5084746	1.6810311	-132.9411774	223.4782562	-760.0000000	2390.0000000	34	23	38.9830508	59	-4520.0000000	5140.0000000	620.0000000	20651
2	3	30	1.50	2	2	16	2	-213.7076023	-142.8870694	-0.0001757	-1.4155806	-2.1521739	-6.5217391	4600.0000000	1	0.9760575	-4600.0000000	5	5	5	6	-4.8387097	0.7985925	-464.0740662	370.6060486	-1980.0000000	1470.0000000	27	33	53.2258065	62	-12530.0000000	12230.0000000	-300.0000000	20647
1	5	60	1.35	9	6	5	1	-93.5159681	6501.1826047	0.0609544	2.9197079	40.9542683	215.5487805	3280.0000000	1	2.1348315	-3280.0000000	10	11	2	6	252.5000000	1.0112359	-692.2222290	700.0000000	-1310.0000000	1730.0000000	9	19	67.8571429	28	-6230.0000000	13300.0000000	7070.0000000	20641
1	2	30	0.75	28	6	6	1	40.3729727	9384.3344596	0.1103356	5.8708996	135.1326923	229.0384615	5200.0000000	1	1.4933720	-5200.0000000	10	10	6	8	119.1000000	1.0124556	-603.5000000	611.0169678	-1750.0000000	2300.0000000	40	59	59.0000000	100	-24140.0000000	36050.0000000	11910.0000000	20640
1	7	50	2.70	5	10	1	3	-862.5275052	456.3646164	0.0040343	0.0591035	8.5507246	85.5072464	690.0000000	1	1.4538462	-690.0000000	1	2	4	3	29.5000000	1.4538462	-130.0000000	189.0000000	-330.0000000	570.0000000	10	10	50.0000000	20	-1300.0000000	1890.0000000	590.0000000	20634
1	3	20	2.70	25	4	13	1	31.3474162	5553.9769716	0.0535697	1.9257995	32.6666667	171.9298246	3420.0000000	1	2.0575540	-3420.0000000	9	10	1	7	226.1538462	0.7580462	-794.2857056	602.1052856	-2220.0000000	1850.0000000	7	19	73.0769231	26	-5560.0000000	11440.0000000	5880.0000000	20628
2	5	5	2.85	12	10	3	1	1439.5581546	34.4878252	-0.0007890	-1.5674114	0.5247350	4.7703180	5660.0000000	1	1.0345711	-5660.0000000	10	11	4	4	10.8000000	1.3167269	-557.8571167	734.5454712	-1030.0000000	2570.0000000	14	11	44.0000000	25	-7810.0000000	8080.0000000	270.0000000	20626
1	5	20	2.55	8	2	2	3	9.3186455	-1370.4175908	-0.0135702	-2.3445440	-2.1061224	-70.2040816	2450.0000000	1	0.4556962	-2450.0000000	8	9	4	2	-156.3636364	1.0632912	-451.4285583	480.0000000	-1550.0000000	890.0000000	7	3	27.2727273	11	-3160.0000000	1440.0000000	-1720.0000000	20625
2	2	40	2.40	11	16	4	0	734.6198830	-42.2912671	0.0057933	-1.5371392	2.6392962	17.5953079	3410.0000000	1	1.0855920	-3410.0000000	9	9	4	3	21.4285714	0.9408464	-539.2307739	507.3333435	-1610.0000000	2790.0000000	13	15	53.5714286	28	-7010.0000000	7610.0000000	600.0000000	20623
3	7	20	2.10	11	20	15	0	1312.6436782	120.7795898	0.0038178	-0.7565408	2.5305410	10.1221640	5730.0000000	1	1.0532599	-5730.0000000	8	8	7	5	11.1538462	1.1375206	-403.3333435	458.7999878	-1740.0000000	1400.0000000	27	25	48.0769231	52	-10890.0000000	11470.0000000	580.0000000	20620
2	1	40	1.50	23	12	1	2	0.0000000	-99.3988654	-0.0022154	-1.4014599	-0.2352941	-11.7647059	1020.0000000	1	0.8666667	-1020.0000000	5	6	3	1	-20.0000000	1.7333333	-225.0000000	390.0000000	-350.0000000	600.0000000	4	2	33.3333333	6	-900.0000000	780.0000000	-120.0000000	20619
3	2	20	0.90	9	13	6	0	-189.4435228	2702.9167541	0.0298109	1.0248405	41.2879464	77.9017857	4480.0000000	1	1.1510823	-4480.0000000	9	9	5	6	32.6168224	1.1728008	-427.7777710	501.6981201	-1790.0000000	2300.0000000	54	53	49.5327103	107	-23100.0000000	26590.0000000	3490.0000000	20617
1	2	35	1.50	16	9	8	0	-13.8929440	9890.8418762	0.0971545	6.3213887	113.9571865	335.1681957	3270.0000000	1	2.2259508	-3270.0000000	8	8	4	7	214.9019608	1.1129755	-525.8823242	585.2941284	-1540.0000000	2030.0000000	17	34	66.6666667	51	-8940.0000000	19900.0000000	10960.0000000	20616
2	5	25	2.10	22	6	20	2	-114.0683826	-2079.5024106	-0.0189199	-2.8046232	-1.4891304	-74.4565217	3680.0000000	1	0.1722054	-3680.0000000	7	5	6	1	-304.4444444	0.6027190	-472.8571472	285.0000000	-1590.0000000	490.0000000	7	2	22.2222222	9	-3310.0000000	570.0000000	-2740.0000000	20615
1	5	25	2.40	5	9	7	1	130.6747123	7225.7569406	0.0681734	4.0337736	62.3841060	259.9337748	3020.0000000	1	2.3418803	-3020.0000000	10	10	3	5	224.2857143	1.0733618	-531.8181763	570.8333130	-2050.0000000	2140.0000000	11	24	68.5714286	35	-5850.0000000	13700.0000000	7850.0000000	20614
2	5	55	0.90	33	1	4	3	0.0000000	0.0000000	-0.0010520	-1.3416053	0.0000000	0.0000000	1210.0000000	1	1.0000000	-1210.0000000	1	1	6	4	0.0000000	1.3333333	-113.3333359	151.1111145	-350.0000000	410.0000000	36	27	42.1875000	64	-4080.0000000	4080.0000000	0.0000000	20612
1	2	15	0.75	30	6	18	0	-188.7072390	8195.1815789	0.0891123	5.1669194	79.2063492	198.0158730	5040.0000000	1	1.6729602	-5040.0000000	9	10	5	8	144.6376812	1.1292481	-549.2592773	620.2500000	-1750.0000000	2320.0000000	27	40	57.9710145	69	-14830.0000000	24810.0000000	9980.0000000	20601
3	1	10	2.40	12	1	5	2	184.3228070	4760.3130309	0.0526762	3.9667494	60.6164384	102.7397260	5840.0000000	1	1.2786809	-5840.0000000	6	6	7	6	50.8474576	1.2353358	-377.7192993	466.6101685	-1730.0000000	1930.0000000	57	59	50.0000000	118	-21530.0000000	27530.0000000	6000.0000000	20599
3	5	40	1.50	6	14	2	3	1450.1587302	682.4902556	0.0136159	-1.0681935	17.8270378	29.2246521	5030.0000000	1	1.0813503	-5030.0000000	5	4	7	7	12.2500000	1.0104421	-317.0175476	320.3278809	-1450.0000000	2390.0000000	57	61	50.8333333	120	-18070.0000000	19540.0000000	1470.0000000	20598
1	2	10	2.10	2	11	3	3	900.9242059	402.3301959	0.0123200	1.1689151	9.7550336	51.3422819	2980.0000000	1	1.3787129	-2980.0000000	4	5	4	4	42.5000000	1.2335852	-237.6470642	293.1578979	-1540.0000000	790.0000000	17	19	52.7777778	36	-4040.0000000	5570.0000000	1530.0000000	20597
1	3	25	2.10	4	1	1	0	55.0838958	11352.6467401	0.1073916	9.5444207	241.8797251	409.9656357	2910.0000000	1	1.7346059	-2910.0000000	6	7	5	8	114.7115385	1.2642044	-377.6744080	477.4576416	-1750.0000000	2150.0000000	43	59	56.7307692	104	-16240.0000000	28170.0000000	11930.0000000	20596
3	5	5	1.95	9	7	10	2	-235.3327764	419.3848345	0.0133139	0.0735105	15.0000000	37.5000000	3360.0000000	1	1.0868966	-3360.0000000	6	6	4	9	17.5000000	0.8695172	-453.1250000	394.0000000	-1700.0000000	1170.0000000	32	40	55.5555556	72	-14500.0000000	15760.0000000	1260.0000000	20594
3	2	55	2.70	4	10	17	1	63.2686981	141.5854412	0.0049970	-0.6969447	1.9213483	21.3483146	2670.0000000	1	1.0962838	-2670.0000000	10	9	2	3	33.5294118	0.9744744	-740.0000000	721.1110840	-1840.0000000	1900.0000000	8	9	52.9411765	17	-5920.0000000	6490.0000000	570.0000000	20589
2	5	15	0.90	29	20	18	0	254.6125731	287.5316947	0.0065829	-0.8492917	3.3816047	18.7866928	5110.0000000	1	1.0800000	-5110.0000000	9	10	6	4	25.2631579	1.1400001	-631.5789185	720.0000000	-1670.0000000	2390.0000000	19	18	47.3684211	38	-12000.0000000	12960.0000000	960.0000000	20587
3	5	20	1.35	7	19	5	0	263.6742114	8224.4948583	0.0894175	5.1505247	122.8777589	163.8370119	5890.0000000	1	1.2986691	-5890.0000000	10	9	5	7	70.9558824	1.0562509	-529.6721191	559.4666748	-1550.0000000	2230.0000000	61	75	55.1470588	136	-32310.0000000	41960.0000000	9650.0000000	20585
2	6	20	1.50	22	20	10	0	0.0000000	-1900.5973686	-0.0089179	-1.6423358	-0.0000000	-98.5981308	2140.0000000	1	-0.0000000	-2140.0000000	12	0	3	0	-703.3333333	-0.0000000	-703.3333130	0.0000000	-1470.0000000	0.0000000	3	0	0.0000000	3	-2110.0000000	0.0000000	-2110.0000000	20584
1	1	40	0.75	7	17	3	1	210.8326122	6113.4424335	0.0537715	3.3310112	46.8300000	334.5000000	2000.0000000	1	2.9851632	-2000.0000000	11	10	2	5	334.5000000	1.2793556	-561.6666870	718.5714111	-1080.0000000	1820.0000000	6	14	70.0000000	20	-3370.0000000	10060.0000000	6690.0000000	20582
2	3	20	1.50	4	14	17	1	-179.3936725	1651.0416617	0.0238351	0.1620548	19.5901639	65.3005464	3660.0000000	1	1.1981758	-3660.0000000	10	10	3	5	45.9615385	0.8387230	-574.2857056	481.6666565	-1550.0000000	2140.0000000	21	30	57.6923077	52	-12060.0000000	14450.0000000	2390.0000000	20576
1	4	30	1.05	8	10	19	0	-3.8849201	4810.5781122	0.0608693	4.8258075	51.4859038	119.7346600	6030.0000000	1	1.3928183	-6030.0000000	9	10	5	6	82.9885057	1.4252094	-417.7272644	595.3488159	-1750.0000000	1760.0000000	44	43	49.4252874	87	-18380.0000000	25600.0000000	7220.0000000	20573
1	7	10	0.90	12	16	14	0	180.3011546	12481.2569195	0.1196971	12.2274513	271.4894515	577.6371308	2370.0000000	1	2.1465662	-2370.0000000	8	9	7	9	164.9397590	1.5985067	-341.1428528	545.3191528	-1190.0000000	2400.0000000	35	47	56.6265060	83	-11940.0000000	25630.0000000	13690.0000000	20572
1	6	5	2.10	8	4	15	2	40.7179612	3606.0218584	0.0383495	2.9998327	37.1828255	119.9445983	3610.0000000	1	1.5915301	-3610.0000000	6	5	6	5	81.6981132	1.0781332	-348.5714417	375.8064575	-910.0000000	1520.0000000	21	31	58.4905660	53	-7320.0000000	11650.0000000	4330.0000000	20564
2	4	55	1.50	16	19	20	3	321.7756512	1279.0323226	0.0151764	-0.6158172	20.4341637	70.4626335	2810.0000000	1	1.2429448	-2810.0000000	3	5	6	4	31.4285714	1.4143854	-246.9696960	349.3103333	-1360.0000000	2390.0000000	33	29	46.0317460	63	-8150.0000000	10130.0000000	1980.0000000	20563
3	5	60	0.75	7	13	19	3	-2.0288696	7602.0886319	0.0706901	8.4607928	231.7333333	351.1111111	2250.0000000	1	1.5886736	-2250.0000000	3	4	5	9	63.7096774	1.3479655	-239.6428528	323.0303040	-920.0000000	2390.0000000	56	66	53.2258065	124	-13420.0000000	21320.0000000	7900.0000000	20555
2	5	25	0.75	17	2	13	3	163.8631347	5534.2178366	0.0515543	7.7064269	165.5407407	447.4074074	1350.0000000	1	2.1866405	-1350.0000000	3	3	5	5	88.8235294	1.7138534	-175.5172424	300.8108215	-760.0000000	2390.0000000	29	37	54.4117647	68	-5090.0000000	11130.0000000	6040.0000000	20550
1	6	30	2.40	3	3	11	2	-302.4164184	862.6345880	0.0066934	0.4460665	5.8348624	97.2477064	1090.0000000	1	1.9814815	-1090.0000000	6	6	5	6	96.3636364	1.6512345	-216.0000000	356.6666565	-350.0000000	820.0000000	5	6	54.5454545	11	-1080.0000000	2140.0000000	1060.0000000	20548
1	6	55	0.60	14	6	19	0	181.4391194	12827.2085385	0.1271981	9.5324482	257.5591398	505.0179211	2790.0000000	1	2.0674242	-2790.0000000	9	9	6	10	173.9506173	1.1755941	-455.1724243	535.0980225	-2010.0000000	2350.0000000	29	51	62.9629630	81	-13200.0000000	27290.0000000	14090.0000000	20546
2	5	5	2.25	23	10	18	2	-141.1725042	-1963.0454497	-0.0214342	-3.6901265	-3.8283379	-76.5667575	3670.0000000	1	0.3061728	-3670.0000000	5	6	4	2	-175.6250000	0.6735802	-368.1818237	248.0000000	-1730.0000000	680.0000000	11	5	31.2500000	16	-4050.0000000	1240.0000000	-2810.0000000	20545
3	7	5	0.90	38	4	18	1	450.3196076	4253.6445567	0.0478216	3.1710115	50.0042644	113.6460554	4690.0000000	1	1.3316739	-4690.0000000	9	9	3	7	66.6250000	1.0895514	-446.3888855	486.3636475	-1350.0000000	1500.0000000	36	44	55.0000000	80	-16070.0000000	21400.0000000	5330.0000000	20544
2	8	20	2.55	1	5	11	2	-75.6041046	-353.2859399	-0.0070361	-1.7152708	-0.6347305	-31.7365269	1670.0000000	1	0.7488152	-1670.0000000	5	5	3	1	-75.7142857	1.8720379	-422.0000000	790.0000000	-720.0000000	1170.0000000	5	2	28.5714286	7	-2110.0000000	1580.0000000	-530.0000000	20539
2	7	30	0.90	3	7	2	2	435.1054404	1367.0500127	0.0136822	0.7663942	16.9145729	99.4974874	1990.0000000	1	1.2848921	-1990.0000000	6	6	5	4	53.5135135	1.5116378	-347.5000000	525.2941284	-760.0000000	1270.0000000	20	17	45.9459459	37	-6950.0000000	8930.0000000	1980.0000000	20537
1	2	25	0.75	7	13	18	1	36.1205457	9340.3660642	0.1100768	5.8437469	137.7562863	229.5938104	5170.0000000	1	1.4795960	-5170.0000000	10	10	6	8	116.3725490	1.0110573	-603.6585083	610.3333130	-1750.0000000	2300.0000000	41	60	58.8235294	102	-24750.0000000	36620.0000000	11870.0000000	20536
1	3	20	0.90	26	17	4	2	-10.5315855	7552.6634238	0.0711902	6.6617325	172.6776557	292.6739927	2730.0000000	1	1.4645349	-2730.0000000	6	5	4	10	71.3392857	1.2659539	-337.2549133	426.9491577	-1260.0000000	1890.0000000	51	59	52.6785714	112	-17200.0000000	25190.0000000	7990.0000000	20530
2	7	45	2.55	1	2	8	3	348.4363082	-58.5127561	-0.0027652	-1.6990944	-0.7777778	-11.1111111	2070.0000000	1	0.9230769	-2070.0000000	4	5	4	3	-14.3750000	1.1868131	-332.2222290	394.2857056	-900.0000000	1220.0000000	9	7	43.7500000	16	-2990.0000000	2760.0000000	-230.0000000	20529
1	5	25	1.95	17	10	13	0	75.0192746	16889.2825403	0.1610433	11.4487502	345.6885813	617.3010381	2890.0000000	1	2.0420561	-2890.0000000	10	9	4	5	193.9130435	1.2398197	-503.5294189	624.2857056	-1770.0000000	2220.0000000	34	56	60.8695652	92	-17120.0000000	34960.0000000	17840.0000000	20526
2	4	5	2.55	13	8	8	0	832.2267206	-494.2530186	-0.0036679	-1.4392967	-3.8767396	-12.9224652	5030.0000000	1	0.9465021	-5030.0000000	9	9	4	6	-11.6071429	0.8203018	-467.3076782	383.3333435	-1870.0000000	1160.0000000	26	30	53.5714286	56	-12150.0000000	11500.0000000	-650.0000000	20524
1	5	40	1.50	24	12	12	0	132.2077883	10704.8790135	0.1057409	6.9109337	152.3630769	362.7692308	3250.0000000	1	1.9735756	-3250.0000000	11	10	4	10	175.9701493	1.1277574	-504.5833435	569.0476074	-1100.0000000	2380.0000000	24	42	62.6865672	67	-12110.0000000	23900.0000000	11790.0000000	20509
1	3	5	2.10	22	5	14	1	0.0000000	688.0915402	0.0104760	-0.0992743	3.1276596	44.6808511	2820.0000000	1	1.3307087	-2820.0000000	10	10	1	2	105.0000000	0.9505062	-762.0000000	724.2857056	-1760.0000000	1450.0000000	5	7	58.3333333	12	-3810.0000000	5070.0000000	1260.0000000	20505
2	5	30	2.10	23	2	2	1	-33.9817742	-4622.8205105	-0.0408333	-3.4981501	-3.4723926	-86.8098160	6520.0000000	1	0.1700880	-6520.0000000	10	9	3	1	-404.2857143	0.4252199	-682.0000000	290.0000000	-1800.0000000	410.0000000	10	4	28.5714286	14	-6820.0000000	1160.0000000	-5660.0000000	20500
1	6	5	2.70	3	7	20	0	58.3546244	1297.4719260	0.0157114	-0.4508623	7.6975089	36.6548043	5620.0000000	1	1.2627551	-5620.0000000	7	6	7	9	46.8181818	1.3228862	-356.3636475	471.4285583	-1540.0000000	2490.0000000	22	21	47.7272727	44	-7840.0000000	9900.0000000	2060.0000000	20499
1	5	20	1.50	4	2	5	1	83.8184605	10455.3050980	0.1062695	5.0631994	138.7925000	283.2500000	4000.0000000	1	1.6591041	-4000.0000000	10	10	3	8	151.0666667	0.8803410	-661.1538696	582.0408325	-2010.0000000	2280.0000000	26	49	65.3333333	75	-17190.0000000	28520.0000000	11330.0000000	20498
3	1	25	2.10	32	19	2	1	0.0000000	-155.2159581	0.0000000	-0.0000000	-0.0000000	-66.6666667	360.0000000	1	-0.0000000	-360.0000000	9	0	1	0	-240.0000000	-0.0000000	-240.0000000	0.0000000	-240.0000000	0.0000000	1	0	0.0000000	1	-240.0000000	0.0000000	-240.0000000	20496
2	1	5	0.60	16	10	1	3	0.0000000	28.6512351	-0.0001257	-1.0013942	0.4000000	8.0000000	500.0000000	1	1.0449438	-500.0000000	2	4	2	2	3.6363636	1.2539326	-148.3333282	186.0000000	-340.0000000	410.0000000	6	5	45.4545455	11	-890.0000000	930.0000000	40.0000000	20491
1	7	45	1.95	10	8	3	1	303.2095865	4076.3083259	0.0306330	2.6913755	28.5350318	285.3503185	1570.0000000	1	2.2655367	-1570.0000000	10	11	4	4	213.3333333	2.2655367	-354.0000000	802.0000000	-1190.0000000	2000.0000000	10	10	47.6190476	21	-3540.0000000	8020.0000000	4480.0000000	20490
1	5	25	1.80	40	8	12	1	61.3921368	16124.8716110	0.1486884	10.3331182	241.5658363	603.9145907	2810.0000000	1	2.3415020	-2810.0000000	11	11	4	6	261.0769231	1.4049012	-527.0833130	740.5000000	-1220.0000000	2280.0000000	24	40	61.5384615	65	-12650.0000000	29620.0000000	16970.0000000	20489
2	6	55	1.35	6	4	18	1	-47.5408861	-245.6041792	-0.0081956	-2.2538794	-1.6306533	-14.8241206	3980.0000000	1	0.9254109	-3980.0000000	9	9	5	4	-21.8518519	1.3460521	-494.3750000	665.4545288	-890.0000000	2350.0000000	16	11	40.7407407	27	-7910.0000000	7320.0000000	-590.0000000	20488
1	2	25	2.10	7	8	3	1	55.9271743	5769.1767993	0.0393686	0.0000000	63.2727273	790.9090909	770.0000000	1	100.0000000	-770.0000000	0	11	0	8	676.6666667	100.0000000	0.0000000	761.2500000	0.0000000	1670.0000000	0	8	88.8888889	9	0.0000000	6090.0000000	6090.0000000	20484
2	4	10	2.55	27	5	13	2	258.7055016	1059.2092254	0.0146565	0.4959053	17.1191136	57.0637119	3610.0000000	1	1.1501458	-3610.0000000	6	6	4	4	31.2121212	1.3801749	-381.1111145	526.0000000	-1270.0000000	1550.0000000	36	30	45.4545455	66	-13720.0000000	15780.0000000	2060.0000000	20476
2	2	5	2.70	11	8	18	2	-186.6905901	-265.0288914	-0.0069021	-1.7627737	-2.9056604	-41.5094340	2120.0000000	1	0.7250000	-2120.0000000	5	5	4	4	-55.0000000	0.9321429	-355.5555420	331.4285583	-870.0000000	730.0000000	9	7	43.7500000	16	-3200.0000000	2320.0000000	-880.0000000	20474
2	2	15	2.25	33	1	4	3	59.8749748	432.9405597	0.0016393	-4.3071465	5.1940299	64.9253731	1340.0000000	1	1.2710280	-1340.0000000	1	3	5	2	32.2222222	3.0186915	-168.9473724	510.0000000	-350.0000000	2790.0000000	19	8	29.6296296	27	-3210.0000000	4080.0000000	870.0000000	20473
1	1	60	2.70	21	2	19	2	-74.7071067	2793.5816678	0.0305616	1.8050044	31.6424581	98.8826816	3580.0000000	1	1.3043852	-3580.0000000	6	7	5	5	58.0327869	1.1413370	-415.3571472	474.0625000	-1700.0000000	1520.0000000	28	32	52.4590164	61	-11630.0000000	15170.0000000	3540.0000000	20471
3	7	45	0.75	6	18	1	0	704.3135560	3899.1924821	0.0431122	1.6429237	54.5018051	58.6040915	8310.0000000	1	1.0993675	-8310.0000000	9	9	7	9	25.7671958	1.1230099	-515.8947144	579.3548584	-2450.0000000	2560.0000000	95	93	49.2063492	189	-49010.0000000	53880.0000000	4870.0000000	20469
1	4	5	2.10	29	19	3	3	1869.9415205	-23.2005342	-0.0054070	-3.7532563	0.0514286	0.8571429	3500.0000000	1	1.0089021	-3500.0000000	5	5	9	3	1.2500000	2.8585560	-198.2352905	566.6666870	-500.0000000	1980.0000000	17	6	25.0000000	24	-3370.0000000	3400.0000000	30.0000000	20465
1	7	5	2.85	3	7	15	3	141.6399974	3629.0884644	0.0444817	5.2633551	43.3907285	180.7947020	3020.0000000	1	2.3448276	-3020.0000000	5	4	6	9	124.0909091	1.8563218	-213.6842041	396.6666565	-700.0000000	2450.0000000	19	24	54.5454545	44	-4060.0000000	9520.0000000	5460.0000000	20464
1	8	40	2.10	6	20	2	2	110.7393939	1969.6820796	0.0191597	1.7362340	27.8985507	398.5507246	690.0000000	1	3.6699029	-690.0000000	4	5	1	2	275.0000000	1.5728155	-343.3333435	540.0000000	-410.0000000	1280.0000000	3	7	70.0000000	10	-1030.0000000	3780.0000000	2750.0000000	20463
3	7	20	1.50	39	7	15	1	494.6716348	3940.4710464	0.0412385	1.5797611	43.7419355	91.1290323	4960.0000000	1	1.2087760	-4960.0000000	10	9	6	10	50.2222222	1.0324961	-528.0487671	545.2083130	-1670.0000000	2260.0000000	41	48	53.3333333	90	-21650.0000000	26170.0000000	4520.0000000	20461
3	2	60	3.00	1	8	13	2	-35.7946977	3678.8123194	0.0323946	2.0406564	40.7287234	214.3617021	1880.0000000	1	1.6190476	-1880.0000000	5	5	4	4	111.9444444	1.3634085	-406.8750000	554.7368164	-1000.0000000	1820.0000000	16	19	52.7777778	36	-6510.0000000	10540.0000000	4030.0000000	20459
1	5	40	2.25	2	7	20	0	56.7972892	11931.4882466	0.1077391	11.9772731	140.4375000	401.2500000	3200.0000000	1	2.3022312	-3200.0000000	7	8	9	6	188.8235294	2.0391191	-318.0645142	648.5714111	-2110.0000000	2560.0000000	31	35	51.4705882	68	-9860.0000000	22700.0000000	12840.0000000	20456
2	3	55	2.10	29	9	12	0	-523.0212373	153.1045966	0.0098538	-0.2512839	3.7206266	24.8041775	3830.0000000	1	1.1466049	-3830.0000000	8	9	3	3	36.5384615	0.8408437	-589.0908813	495.3333435	-1500.0000000	1340.0000000	11	15	57.6923077	26	-6480.0000000	7430.0000000	950.0000000	20453
1	5	45	0.90	5	4	14	0	399.6128909	2426.4831483	0.0359282	0.8577526	37.2469636	74.4939271	4940.0000000	1	1.1588946	-4940.0000000	8	9	4	7	40.4395604	0.9039378	-593.8461304	536.7999878	-2010.0000000	2300.0000000	39	50	54.9450549	91	-23160.0000000	26840.0000000	3680.0000000	20449
2	6	20	2.55	24	9	4	1	-88.5271318	-1297.2566623	-0.0184728	-3.0306911	-1.0955414	-54.7770701	3140.0000000	1	0.5473684	-3140.0000000	11	8	6	2	-172.0000000	2.1894737	-475.0000000	1040.0000000	-790.0000000	1830.0000000	8	2	20.0000000	10	-3800.0000000	2080.0000000	-1720.0000000	20444
2	4	40	0.75	4	10	10	3	120.7447953	3220.0024750	0.0317593	1.7140158	43.1937173	196.3350785	1910.0000000	1	1.8992806	-1910.0000000	6	6	4	5	104.1666667	1.2086331	-297.8571472	360.0000000	-1130.0000000	2390.0000000	14	22	61.1111111	36	-4170.0000000	7920.0000000	3750.0000000	20443
2	5	25	2.10	22	4	20	2	-114.0683826	-2079.5024106	-0.0189199	-2.8046232	-1.4891304	-74.4565217	3680.0000000	1	0.1722054	-3680.0000000	7	5	6	1	-304.4444444	0.6027190	-472.8571472	285.0000000	-1590.0000000	490.0000000	7	2	22.2222222	9	-3310.0000000	570.0000000	-2740.0000000	20438
1	5	50	2.10	9	19	17	2	-465.5927268	1951.1849843	0.0224708	0.4571757	15.4980392	96.8627451	2550.0000000	1	1.3224543	-2550.0000000	7	6	2	6	91.4814815	0.9091873	-696.3636475	633.1250000	-2060.0000000	1630.0000000	11	16	59.2592593	27	-7660.0000000	10130.0000000	2470.0000000	20434
3	6	25	2.10	3	8	15	0	333.6117817	3921.4840346	0.0342158	1.6198579	36.0227920	124.2165242	3510.0000000	1	1.3019391	-3510.0000000	8	8	5	5	71.4754098	1.4366224	-451.2500000	648.2758789	-1470.0000000	2390.0000000	32	29	47.5409836	61	-14440.0000000	18800.0000000	4360.0000000	20433
2	8	20	2.10	17	7	19	2	-611.5974146	-59.5157269	-0.0016465	-1.1730970	-0.3486239	-17.4311927	1090.0000000	1	0.7738095	-1090.0000000	5	6	3	2	-38.0000000	1.1607143	-280.0000000	325.0000000	-540.0000000	530.0000000	3	2	40.0000000	5	-840.0000000	650.0000000	-190.0000000	20425
2	5	20	2.10	17	14	17	2	225.7474673	912.6069905	0.0104049	0.4122580	11.1061453	79.3296089	1790.0000000	1	1.3249428	-1790.0000000	5	5	4	3	50.7142857	1.3249429	-312.1428528	413.5714417	-690.0000000	1080.0000000	14	14	50.0000000	28	-4370.0000000	5790.0000000	1420.0000000	20424
2	6	25	2.10	23	5	17	2	0.0000000	-623.8353964	-0.0026360	-1.0948905	-0.6315789	-63.1578947	1140.0000000	1	0.2000000	-1140.0000000	6	7	1	1	-240.0000000	0.4000000	-450.0000000	180.0000000	-600.0000000	180.0000000	2	1	33.3333333	3	-900.0000000	180.0000000	-720.0000000	20423
1	2	40	1.50	6	14	3	3	890.7793648	1714.4029580	0.0234949	1.6856893	25.1338384	67.9292929	3960.0000000	1	1.2559467	-3960.0000000	4	5	4	6	37.3611111	1.1201686	-318.4848633	356.7567444	-1540.0000000	1240.0000000	33	37	51.3888889	72	-10510.0000000	13200.0000000	2690.0000000	20418
