DP_1TF_30m_sess9: L_S_B	DP_1TF_30m_sess9: POI_Switch	DP_1TF_30m_sess9: NATR	DP_1TF_30m_sess9: Fract	DP_1TF_30m_sess9: Filter1_Switch	DP_1TF_30m_sess9: Filter1_N1	DP_1TF_30m_sess9: Filter1_N2	DP_1TF_30m_sess9: Tsegment	All: Robustness Index	All: Perfect Profit Correlation	All: Pessimistic Return On Capital	All: Expectancy Score	All: TS Index	All: Return on Account	All: Required Account Size	All: Max Contracts Held	All: ProfitFactor	All: Max Intraday Drawdown	All: Avg Bars in Loser	All: Avg Bars in Winner	All: Max Consecutive Losers	All: Max Consecutive Winners	All: Avg Trade	All: Win/Loss Ratio	All: Avg Losing Trade	All: Avg Winning Trade	All: Max Losing Trade	All: Max Winning Trade	All: Losing Trades	All: Winning Trades	All: % Profitable	All: Total Trades	All: Gross Loss	All: Gross Profit	All: Net Profit	Test
2	5	5	2.40	23	4	19	1	0.0000000	-1149.2069274	-0.0060043	-0.9004349	-1.5648855	-78.2442748	2620.0000000	1	0.1929134	-2620.0000000	11	10	1	1	-512.5000000	0.1929134	-1270.0000000	245.0000000	-1740.0000000	300.0000000	2	2	50.0000000	4	-2540.0000000	490.0000000	-2050.0000000	24593
2	5	25	0.90	18	9	17	2	502.6985646	266.0630881	0.0014046	-0.7387278	4.1422594	23.0125523	2390.0000000	1	1.0701531	-2390.0000000	6	6	4	3	12.5000000	1.4863237	-313.6000061	466.1111145	-1000.0000000	1170.0000000	25	18	40.9090909	44	-7840.0000000	8390.0000000	550.0000000	24586
1	7	40	2.10	21	18	7	0	179.2143062	6125.6200849	0.0579747	4.0299222	115.9234450	322.0095694	2090.0000000	1	1.5660219	-2090.0000000	7	7	8	6	101.9696970	1.3050182	-396.3333435	517.2222290	-1550.0000000	2420.0000000	30	36	54.5454545	66	-11890.0000000	18620.0000000	6730.0000000	24584
1	5	55	3.00	5	4	4	0	60.0547969	7433.2179635	0.0681682	7.4737478	115.4273128	349.7797357	2270.0000000	1	2.1993958	-2270.0000000	7	7	6	8	144.3636364	1.4662639	-300.9090881	441.2121277	-800.0000000	1890.0000000	22	33	60.0000000	55	-6620.0000000	14560.0000000	7940.0000000	24583
2	5	5	3.00	6	14	8	0	645.1977401	-229.0226750	-0.0078095	-2.6283069	-3.6580000	-11.8000000	5000.0000000	1	0.9654567	-5000.0000000	6	7	5	4	-8.5507246	1.1834630	-449.4736938	531.9354858	-1470.0000000	2600.0000000	38	31	44.9275362	69	-17080.0000000	16490.0000000	-590.0000000	24581
3	4	45	1.95	26	2	12	0	343.4586466	-771.4748734	-0.0112820	-2.2264645	-3.1818182	-19.8863636	5280.0000000	1	0.9020522	-5280.0000000	9	9	4	4	-28.3783784	1.1839435	-510.4761963	604.3750000	-1740.0000000	1980.0000000	21	16	43.2432432	37	-10720.0000000	9670.0000000	-1050.0000000	24576
1	5	15	2.70	16	7	19	1	1.8651750	11691.9178152	0.1057318	12.1255913	88.6613757	341.0052910	3780.0000000	1	3.0331230	-3780.0000000	11	10	7	7	286.4444444	2.2165129	-333.6842041	739.6153564	-900.0000000	2050.0000000	19	26	57.7777778	45	-6340.0000000	19230.0000000	12890.0000000	24574
2	4	20	0.90	11	8	9	1	-1706.6926576	-513.4470094	-0.0084844	-1.7550400	-4.0287958	-21.2041885	3820.0000000	1	0.9245107	-3820.0000000	10	11	5	4	-18.8372093	1.1191446	-466.5217285	522.1052856	-1340.0000000	1380.0000000	23	19	44.1860465	43	-10730.0000000	9920.0000000	-810.0000000	24571
1	4	5	1.80	5	10	15	1	315.9482374	5718.1304305	0.0666418	3.2666763	56.5297297	134.5945946	5550.0000000	1	1.3703520	-5550.0000000	10	10	4	4	98.2894737	1.1093325	-593.2352905	658.0952148	-1830.0000000	2230.0000000	34	42	55.2631579	76	-20170.0000000	27640.0000000	7470.0000000	24566
1	1	15	0.90	7	3	18	3	239.0741560	2084.6065886	0.0214025	2.5359759	56.5114155	108.6757991	2190.0000000	1	1.2310680	-2190.0000000	2	2	6	7	23.8000000	1.0890217	-223.9130402	243.8461609	-920.0000000	840.0000000	46	52	52.0000000	100	-10300.0000000	12680.0000000	2380.0000000	24565
2	1	5	0.75	32	15	18	0	-40.0701754	-186.3392342	0.0023815	-0.8391497	1.2711864	25.4237288	1180.0000000	1	1.2189781	-1180.0000000	3	6	2	3	33.3333333	0.9751825	-342.5000000	334.0000000	-670.0000000	1000.0000000	4	5	55.5555556	9	-1370.0000000	1670.0000000	300.0000000	24564
2	5	55	1.05	2	15	8	2	2578.4286804	-16.3092548	-0.0043212	-1.7259988	-1.3315789	-12.1052632	1900.0000000	1	0.9563567	-1900.0000000	7	6	4	4	-8.5185185	1.3910644	-329.3750000	458.1818237	-1000.0000000	1270.0000000	16	11	40.7407407	27	-5270.0000000	5040.0000000	-230.0000000	24563
1	7	50	0.90	9	6	10	0	-179.7386470	1720.0294090	0.0159188	0.5953701	13.4501845	89.6678967	2710.0000000	1	1.3319672	-2710.0000000	8	9	4	4	71.4705882	1.6871585	-385.2631531	650.0000000	-1010.0000000	1820.0000000	19	15	44.1176471	34	-7320.0000000	9750.0000000	2430.0000000	24562
